"Liber IX.txt",1,0,0,5,8,4,1,6,4,8,1,1,2,4,4,0,2,0,1,3,1,0,5,2,1,1,0,0,1,0,2,3,3,7,5,2,2,0,3,5,1,1,4,3,3,3,3,4,4,4,1,0,2,1,5,4,0,3,1,0,4,1,3,8,4,2,1,1,0,3,2,4,12,8,1,1,5,3,2,0,1,0,10,3,1,7,0,1,3,1,0,2,19,5,0,3,0,7,4,0,1,17,1,2,3,5,9,22,5,3,4,1,34,0,1,3,2,23,25,9,0,3,43,2,1,1,28,1,15,0,2,0,1,1,1,2,3,1,5,4,0,3,5,0,4,6,1,6,2,3,3,4,2,3,3,0,0,3,5,5,2,2,3,2,3,2,8,1,4,4,7,11,3,5,0,3,20,5,2,2,4,0,0,3,1,0,2,1,0,13,4,3,28,3,14,5,14,0,0,7,0,11,0,0,3,0,1,0,3,3,1,0,12,1,0,1,9,1,3,1,3,5,0,0,0,2,2,3,2,1,2,2,0,8,1,2,0,1,4,5,4,2,1,2,1,1,2,0,1,0,0,3,4,6,0,44,24,11,4,21,0,0,1,4,11,4,35,29,1,0,1,0,1,8,3,1,1,4,1,0,1,6,5,3,0,1,1,1,2,2,4,6,0,2,26,1,5,0,8,3,0,8,3,5,2,6,4,4,0,3,0,4,3,1,4,0,6,3,0,6,9,9,7,4,5,1,1,1,4,2,1,3,1,5,0,4,1,2,1,2,1,1,3,0,2,1,8,1,1,3,0,5,3,3,0,6,5,1,0,14,1,1,1,3,1,2,2,3,2,1,7,0,5,1,6,7,2,10,1,21,1,3,0,2,51,2,4,4,2,5,2,1,1,1,0,2,2,3,0,2,0,3,0,2,2,1,1,1,0,27,1,2,3,1,1,1,2,1,1,3,15,7,8,0,0,3,5,2,6,2,7,2,7,0,1,3,14,5,0,5,7,0,1,6,3,6,4,1,4,2,0,4,39,2,1,2,1,4,1,2,1,0,6,1,32,1,3,1,3,2,32,12,30,10,18,7,17,4,0,5,0,4,2,4,4,2,5,3,6,4,5,4,3,4,0,4,1,3,4,1,13,6,1,4,1,1,0,3,14,2,2,3,10,2,6,1,2,1,6,1,3,1
"Liber V.txt",4,1,0,3,3,1,0,1,0,1,1,2,2,0,2,1,2,2,1,6,2,0,2,6,2,0,1,1,1,0,0,2,1,5,6,2,2,3,1,3,0,2,2,1,3,0,1,2,1,2,3,2,0,0,2,5,1,2,2,0,5,1,1,9,4,5,4,6,2,1,1,2,4,1,2,2,2,0,3,4,9,0,4,5,3,4,1,1,1,2,3,1,15,1,0,4,1,5,5,0,0,4,1,2,2,0,1,9,1,1,1,3,26,0,1,6,4,14,20,26,0,14,29,0,1,1,36,2,11,1,2,1,2,3,0,2,3,3,0,2,7,1,9,2,1,4,3,2,7,1,1,0,1,0,0,3,1,5,0,4,0,1,1,0,1,0,3,2,3,6,0,3,2,3,5,2,9,10,3,1,3,5,0,1,0,2,1,0,3,7,2,13,24,1,16,3,7,7,1,2,1,5,0,1,1,0,0,0,0,0,4,0,10,6,2,5,2,3,15,1,1,8,0,2,1,3,1,3,3,1,5,0,1,0,1,3,2,1,2,5,0,0,0,0,2,4,4,1,2,5,1,5,0,1,2,48,21,11,5,7,3,4,1,4,6,0,17,39,2,2,0,0,1,2,1,3,1,3,0,1,5,7,5,2,1,2,0,5,0,4,4,3,2,1,3,2,0,2,4,0,4,1,0,3,1,0,1,5,8,3,0,3,2,1,2,1,0,0,1,3,4,10,4,4,3,0,0,3,0,1,1,3,0,0,1,0,0,1,0,6,1,1,21,1,0,0,4,0,0,3,2,2,2,2,2,6,1,1,1,16,0,2,1,2,1,0,3,3,6,1,2,2,0,1,4,3,1,18,3,10,1,1,2,6,37,2,2,1,3,3,3,1,1,0,5,2,3,0,0,1,2,3,2,1,3,1,0,2,1,22,1,2,3,1,1,1,1,3,0,0,14,3,11,1,1,1,5,2,2,3,4,1,4,1,2,0,7,3,3,3,2,1,0,2,9,5,2,2,5,1,3,3,50,0,0,3,0,0,0,2,0,1,6,2,18,0,0,0,0,2,20,11,9,12,6,1,8,0,2,2,2,10,0,6,1,3,9,2,5,1,3,7,7,0,8,4,0,14,2,0,3,0,0,0,1,1,0,1,5,1,0,1,0,0,1,3,0,0,3,2,4,0
"Liber VI.txt",1,1,1,3,3,2,3,1,1,0,1,5,1,0,5,3,2,2,4,7,1,2,2,5,0,3,1,0,1,1,1,3,3,7,6,1,6,4,0,2,2,4,2,1,4,3,0,1,2,2,1,0,0,1,0,2,0,7,2,4,4,3,1,9,5,3,3,1,0,1,1,2,4,2,5,1,3,1,0,0,12,1,5,7,2,7,1,4,0,0,2,0,8,0,1,5,3,4,2,2,0,8,1,1,1,0,2,6,1,1,2,2,20,1,0,9,4,15,18,15,2,5,58,2,0,1,57,1,16,0,4,0,3,1,0,0,0,7,0,4,2,2,1,1,1,6,2,4,3,5,1,3,1,1,5,2,4,6,4,4,1,3,2,3,0,0,1,3,4,7,7,7,0,4,2,1,16,6,0,2,1,2,2,2,0,1,3,1,2,5,8,2,20,0,18,5,8,9,3,10,2,8,1,0,1,2,0,0,0,0,2,0,7,1,1,5,7,0,4,1,0,5,0,1,1,1,3,2,1,1,2,1,2,3,0,2,2,2,2,2,1,1,0,6,0,1,1,1,1,5,1,1,1,5,7,55,20,8,5,7,0,2,4,2,8,0,12,32,3,2,1,2,2,1,2,2,2,4,3,0,0,11,2,4,0,0,0,0,0,2,2,5,1,1,7,2,2,0,4,0,0,3,3,4,0,3,3,1,0,7,4,0,5,2,1,1,1,2,1,7,3,8,9,1,3,1,2,1,2,4,2,3,0,0,0,3,1,0,3,1,1,1,13,1,4,1,7,2,2,3,2,1,0,0,0,5,3,0,0,15,0,1,5,7,2,1,1,2,3,1,6,2,1,1,10,12,0,14,0,17,4,3,4,6,51,2,6,3,5,8,0,0,2,1,2,3,2,3,5,3,3,1,4,1,2,1,3,1,0,18,3,2,3,1,3,2,0,0,0,1,11,4,13,0,0,3,4,1,2,0,6,5,5,2,5,0,7,5,2,2,3,0,0,1,2,2,2,1,10,6,3,6,27,1,2,3,1,1,1,1,1,2,2,0,12,3,2,0,2,4,16,3,9,9,5,0,0,1,2,1,2,11,3,13,2,2,5,2,3,1,6,4,10,4,8,5,0,7,8,3,13,4,5,0,0,1,2,1,5,0,3,1,0,1,5,3,0,4,1,6,5,0
"Liber VII.txt",3,1,1,2,4,0,1,3,3,3,0,3,2,0,4,1,0,2,1,20,2,3,2,7,1,0,0,0,2,0,2,2,1,13,8,1,2,1,0,0,3,2,3,1,2,6,18,2,5,17,5,1,3,1,5,4,5,4,0,5,2,4,1,5,2,3,6,1,2,2,2,0,8,4,6,3,7,7,1,4,1,2,7,1,1,3,0,0,1,0,5,8,34,3,0,5,3,21,5,0,1,6,0,0,4,1,0,6,2,6,1,2,43,9,1,4,2,12,13,10,1,2,47,1,2,1,99,0,17,2,1,3,9,1,0,4,0,1,8,15,6,1,14,0,2,4,2,0,3,5,0,4,2,0,1,4,1,0,0,2,2,0,0,1,1,0,3,4,1,9,2,7,4,6,2,1,22,9,4,2,5,8,1,3,2,2,2,2,3,16,11,2,19,3,11,5,6,1,1,5,1,12,0,1,0,0,0,3,1,1,5,3,12,4,0,5,11,1,7,3,1,12,2,1,2,1,0,4,2,7,6,1,1,3,1,2,4,5,4,3,0,4,3,3,2,6,2,14,4,3,3,1,1,0,0,39,18,11,4,8,0,4,2,7,11,3,19,24,0,0,1,2,1,2,1,2,0,3,5,1,3,4,2,0,4,5,1,2,3,0,1,9,2,2,5,3,4,3,4,2,3,2,2,4,4,3,4,3,7,10,6,2,0,2,6,1,3,4,1,13,12,29,3,11,1,2,0,1,0,0,1,6,2,1,4,3,1,0,1,2,1,0,8,2,2,1,7,7,1,7,3,2,2,3,0,1,0,0,3,19,2,3,2,8,4,0,2,0,3,0,3,4,7,0,9,3,0,4,3,21,1,8,3,4,64,0,4,4,1,2,1,0,2,1,2,5,5,1,2,2,2,3,3,0,0,0,1,1,1,15,4,3,2,2,1,1,1,0,0,2,40,7,12,1,2,4,6,2,3,3,10,1,4,0,1,3,11,2,13,4,8,1,7,2,5,2,2,1,9,1,3,7,53,1,3,0,1,1,0,3,1,1,7,4,16,5,1,2,1,7,32,13,11,2,6,1,15,3,0,2,1,8,2,6,4,1,13,0,3,12,7,7,7,5,10,6,3,9,9,6,7,1,2,1,1,3,1,3,21,1,0,1,3,0,0,4,6,0,5,4,0,1
"Liber VIII.txt",1,1,0,6,5,2,2,1,3,3,3,3,3,3,5,1,3,1,4,4,1,0,2,3,3,0,0,1,3,0,1,4,8,8,3,2,1,2,2,3,3,3,1,0,0,0,8,5,2,7,1,3,3,0,2,2,1,3,1,5,2,1,4,5,1,2,1,1,1,4,2,2,2,4,2,2,2,1,0,1,0,1,4,4,1,1,2,0,3,1,3,4,17,4,2,8,1,8,1,1,0,6,0,1,6,5,0,11,5,7,5,3,23,1,2,9,9,17,13,17,2,4,49,3,1,0,31,0,13,1,1,1,3,4,0,3,5,0,4,0,0,1,2,0,3,3,2,2,2,0,1,2,1,3,0,0,0,6,3,1,1,2,5,7,2,2,5,2,3,2,6,4,0,3,0,3,27,10,1,1,1,2,0,5,0,1,0,2,4,11,3,6,15,0,9,0,6,3,2,8,0,6,1,1,1,1,1,1,0,3,3,2,8,5,1,5,7,4,6,1,2,4,1,0,0,1,2,1,5,5,1,0,1,5,0,2,0,2,4,2,0,1,2,5,1,9,2,1,0,4,1,0,1,1,1,66,14,10,5,11,0,4,1,4,10,1,10,27,7,1,0,1,1,4,2,2,4,1,3,2,5,7,4,1,4,1,1,4,2,1,7,3,5,2,3,4,4,2,4,3,0,4,3,6,1,3,3,5,1,1,0,0,1,0,2,0,3,3,1,13,4,13,5,2,3,1,3,0,2,1,3,5,1,1,2,2,0,1,2,1,2,7,5,2,0,3,0,3,1,1,3,4,1,1,0,3,4,0,1,14,0,2,1,1,1,0,1,0,3,1,6,5,5,0,10,6,4,10,0,23,3,0,4,4,42,1,3,4,4,0,3,1,1,2,2,3,0,3,4,0,1,2,1,1,0,0,0,1,1,20,3,7,0,1,1,0,2,2,2,1,28,9,10,1,0,4,4,4,3,1,2,7,4,4,2,0,4,0,2,6,5,1,1,1,3,3,2,0,3,3,4,5,37,2,0,1,3,1,5,7,3,1,3,0,19,0,5,6,3,3,19,7,9,5,7,1,10,3,0,3,1,10,2,7,13,2,2,5,4,4,2,3,3,0,3,4,0,9,2,0,4,4,2,0,2,1,0,8,7,5,5,1,2,1,6,3,6,2,6,1,11,2
"Liber X.txt",1,6,4,12,6,0,2,0,0,6,1,2,3,1,16,7,5,5,13,23,2,7,13,22,3,24,4,5,1,12,4,4,21,18,8,9,10,6,0,0,8,1,7,8,8,1,7,11,2,2,3,1,7,4,8,16,2,4,6,3,6,2,0,4,0,1,3,6,6,5,2,6,8,8,25,6,9,0,1,1,0,4,9,5,0,3,10,1,3,1,5,11,42,11,1,1,2,16,22,10,6,2,1,2,8,0,6,31,3,7,0,8,78,9,7,17,1,34,24,24,4,22,16,5,1,0,70,2,12,1,5,3,4,8,5,7,1,4,3,11,3,0,10,1,10,3,1,1,4,4,1,4,1,1,6,2,2,9,8,2,1,0,6,17,4,2,4,20,0,7,8,32,7,13,9,2,70,12,8,17,6,8,4,8,4,2,0,1,0,19,19,17,15,2,18,2,6,2,1,13,1,13,2,1,4,3,3,2,4,12,10,4,57,9,3,23,13,0,26,5,2,10,1,2,3,1,5,5,2,1,0,2,1,3,0,1,1,3,6,11,3,2,5,10,2,3,5,3,6,6,2,0,0,0,1,175,86,28,8,36,4,2,74,2,21,5,44,82,7,3,1,4,2,12,0,4,5,2,3,1,4,10,1,9,2,1,3,3,11,1,18,13,3,3,19,4,7,3,6,2,5,2,0,5,3,1,4,0,13,5,3,2,4,16,15,0,19,6,9,33,5,24,21,3,7,0,1,0,2,1,0,8,0,4,3,0,0,1,3,2,1,3,5,16,4,4,0,7,3,3,10,2,6,1,5,13,0,3,1,34,1,5,3,4,3,9,3,1,5,3,13,2,11,1,22,10,3,24,1,59,3,10,6,6,115,2,14,5,5,28,7,5,1,1,11,6,4,5,12,4,3,0,2,0,9,0,6,0,0,42,2,7,22,2,1,2,1,0,1,0,118,12,33,2,1,6,13,5,3,3,7,14,7,2,0,10,12,3,0,9,3,2,4,0,2,1,2,6,8,3,2,15,119,1,0,1,0,1,4,3,3,2,11,2,35,4,2,4,1,4,35,4,19,5,14,2,15,4,2,1,3,19,2,31,14,3,6,1,4,4,9,19,17,22,3,19,4,4,5,11,40,6,1,7,1,4,2,6,22,0,6,6,12,2,1,5,1,5,7,6,16,5
"Liber XI.txt",2,2,0,9,1,0,0,4,5,3,0,1,12,4,4,0,3,3,4,14,4,2,0,16,1,0,0,0,0,6,1,1,3,6,2,2,10,0,9,2,3,0,0,2,2,2,4,1,0,4,4,2,23,0,1,1,1,2,2,1,5,2,0,4,0,5,1,2,3,1,0,1,2,0,12,1,8,1,3,13,1,0,6,6,0,1,7,1,3,0,6,2,28,20,2,2,0,18,43,5,1,20,2,0,10,2,0,26,2,2,0,9,32,1,1,14,0,10,15,7,0,6,23,15,0,1,77,3,8,0,0,1,10,6,1,1,7,1,5,6,2,6,19,2,8,0,0,0,3,9,1,2,3,3,2,2,1,4,6,2,31,27,1,1,1,2,5,8,0,1,0,19,1,1,2,2,35,2,5,2,4,1,1,2,1,0,0,1,2,7,18,10,25,3,3,1,7,7,1,29,1,5,0,0,2,10,1,0,0,6,0,3,15,0,1,1,10,0,6,4,2,8,1,2,0,0,0,0,2,2,2,0,0,1,2,0,0,1,1,8,9,1,5,0,1,0,0,0,5,3,0,0,0,0,0,24,27,6,1,7,1,0,11,2,8,2,34,23,3,2,1,1,1,6,0,0,3,0,0,19,2,2,1,0,0,1,2,1,3,0,12,4,2,2,9,0,0,2,27,5,1,5,2,4,1,0,3,0,7,6,3,8,7,3,5,0,0,2,1,16,4,17,2,5,6,1,1,3,2,0,0,4,0,6,0,0,0,0,1,0,1,2,9,12,1,2,6,11,0,3,2,0,0,0,2,4,1,3,2,6,1,1,1,0,2,1,0,2,1,1,9,4,19,1,1,5,4,3,5,45,1,8,4,0,93,1,19,0,3,3,0,1,1,1,6,4,0,0,0,1,2,5,1,0,2,2,9,0,1,8,7,6,8,0,0,1,0,1,1,0,115,1,12,0,1,5,9,0,4,7,4,3,1,2,0,4,0,1,3,1,1,0,2,2,0,1,0,0,1,1,4,11,37,19,39,19,2,61,0,1,0,1,26,3,25,0,7,3,2,9,30,14,12,12,10,1,12,1,0,1,0,12,1,13,0,3,6,4,10,7,8,5,3,1,0,14,8,0,4,3,5,2,0,0,1,4,0,1,23,0,3,5,11,1,0,3,6,0,9,8,9,1
"Liber XII.txt",4,0,1,12,1,1,0,3,9,1,0,0,0,4,8,3,0,3,0,17,1,7,16,24,2,1,1,1,0,4,2,1,2,5,1,1,3,0,1,0,8,0,1,3,5,0,6,0,0,9,27,1,73,1,0,1,1,0,2,4,1,2,0,4,0,0,3,3,2,3,1,3,6,2,1,1,4,2,3,14,2,5,3,8,1,0,2,1,2,1,11,9,68,7,4,2,0,13,39,8,3,12,4,0,8,7,0,18,4,3,1,2,33,3,1,7,0,26,21,11,1,8,57,0,1,0,54,3,8,2,0,2,5,0,2,5,0,0,14,7,5,5,48,10,9,4,1,0,1,7,4,0,0,2,2,23,1,2,1,1,1,1,1,1,0,2,0,5,0,6,4,25,5,20,4,1,64,2,2,1,4,2,2,5,1,1,0,1,0,2,32,15,19,1,12,4,6,1,0,23,1,2,0,0,6,11,1,5,0,1,7,1,22,2,3,4,7,0,25,3,1,5,6,5,1,0,0,0,3,6,6,1,2,0,2,1,3,4,1,1,4,4,6,3,3,0,1,0,1,1,0,2,0,1,1,26,14,7,0,6,0,0,1,6,5,1,23,29,5,4,1,1,0,2,0,0,3,1,0,2,1,8,0,0,5,6,3,10,2,0,4,18,1,2,6,0,2,12,5,2,4,2,6,3,4,1,7,0,3,16,2,3,1,5,5,1,0,2,1,19,9,21,15,8,14,1,0,2,1,3,2,3,2,0,2,1,1,2,0,0,2,1,6,5,2,0,3,10,2,2,7,1,1,10,5,9,0,2,1,20,0,5,2,0,0,4,2,1,10,2,4,2,9,2,5,5,1,14,3,46,1,9,8,2,110,2,4,3,4,4,2,0,1,1,13,0,0,1,1,1,0,11,1,0,1,5,1,5,7,7,1,5,4,5,0,1,1,2,0,2,62,13,21,0,1,7,18,3,2,0,6,1,10,2,0,1,8,4,4,2,11,1,3,1,5,2,2,0,4,1,3,4,45,4,11,9,5,4,2,0,14,0,85,16,28,0,0,3,4,9,28,9,18,3,9,1,11,5,1,0,1,13,1,17,4,2,14,12,24,0,16,6,31,2,2,12,1,0,4,2,4,2,0,0,1,6,3,6,30,2,7,5,9,0,0,5,5,0,1,5,4,2
"Liber XIII.txt",3,1,5,10,1,0,0,2,3,2,0,1,3,4,8,8,6,1,4,4,3,4,0,14,1,2,2,3,2,4,5,1,1,31,3,3,1,0,4,1,2,0,1,1,1,7,29,3,5,25,25,7,14,1,1,2,0,9,2,1,0,0,2,4,0,1,1,0,0,2,0,5,1,1,6,1,8,1,3,8,1,2,12,4,0,0,12,0,8,1,21,6,38,17,3,1,2,11,24,8,10,14,1,1,11,2,0,24,7,4,1,6,36,1,1,17,2,41,20,14,2,18,13,3,0,0,45,2,16,1,0,1,4,5,3,4,0,1,17,5,0,0,32,2,3,6,0,1,4,8,5,4,4,6,4,7,0,0,8,1,0,1,8,1,9,1,4,13,1,3,4,26,1,11,3,4,40,17,4,1,6,13,4,5,1,2,1,0,0,9,11,14,9,0,16,0,6,0,1,6,0,7,1,1,7,4,1,1,1,1,4,1,12,3,1,5,2,1,18,2,4,3,5,2,3,0,1,4,0,7,6,3,3,2,2,0,1,1,5,3,10,8,18,1,0,2,0,1,7,2,7,1,3,1,0,20,14,1,1,5,1,2,0,6,3,1,22,27,5,0,1,0,1,6,0,8,0,2,2,3,8,4,1,0,8,1,1,6,5,0,0,4,0,1,32,0,1,12,8,2,1,6,9,22,4,2,5,0,7,3,3,1,2,4,10,0,3,0,1,10,11,28,8,6,4,25,7,3,2,0,0,1,2,8,3,1,2,1,2,1,0,0,6,1,1,0,1,6,5,2,3,0,2,0,4,13,1,3,0,11,2,3,0,2,0,1,2,1,8,0,2,0,4,3,12,7,9,19,0,20,1,4,8,7,81,0,5,1,4,4,1,0,0,1,6,0,2,6,0,0,0,5,4,0,20,1,1,1,10,23,16,8,3,0,0,1,3,3,1,3,78,8,32,6,2,4,10,0,2,5,9,4,46,1,2,8,11,1,1,3,7,0,3,6,1,7,0,1,33,1,0,11,84,2,7,6,3,4,1,1,6,0,57,9,30,1,0,0,0,1,66,10,30,1,42,6,32,12,1,0,1,5,0,15,4,0,2,1,12,15,7,3,5,3,1,35,6,0,4,7,16,11,8,5,0,1,1,9,13,6,0,7,10,3,0,3,8,1,2,3,4,5
